Title			Director		Date	Genre	Link
Animus			Adonis Lugo		2016	Horror		https://www.youtube.com/watch?v=VPya-HWhT70
At Your Service		Christine Vorsteg	2016	Comedy		https://www.youtube.com/watch?v=g3z7UHNA53U
Nunca Olvidados		Marco Vite		2015	Drama		https://www.youtube.com/watch?v=6wq6QediYVc&t=3s
Fugue			Joshua Jimenez		2016	Thriller	https://www.youtube.com/watch?v=gUSj12feTcw
Lovestruck		Johnny Acero		2016	Comedy		https://www.youtube.com/watch?v=ucaRyfesvcA&t=7s
Tainted Love		Jonathan Herrera	2016	Thriller	https://www.youtube.com/watch?v=dYiLgUC4o_4&t=21s
The Golden Rule		Antonella Corsi		2016	Drama		https://www.youtube.com/watch?v=-Ic0gKaRnHQ&t=21s
Partition		Giuliana Bruni		2016	Drama		https://www.youtube.com/watch?v=e_KPEaxZP5c
Apostacy		Brandon Braswell	Unknown	Scifi		https://www.youtube.com/watch?v=q-D9LuEyV6I&t=56s
Augustus		Bobby Douge		2011	Drama		https://www.youtube.com/watch?v=ntsh1UWvJlA&t=1182s
Oliver			Tatiana Ordonez		Unknown	Drama		https://www.youtube.com/watch?v=U6ntCPLlgDg
Ditched			Xander Soteras		Unknown	Comedy		https://www.youtube.com/watch?v=sycGvwt3kt4&t=17s
Charlie			Daniel Velasquez	Unknown	Drama		https://www.youtube.com/watch?v=0WF8QiA8iDE&t=494s
For Family's Sake	Sam Shaib		Unknown	Drama		https://www.youtube.com/watch?v=jJl9_DQQnTU&t=528s
